Compound Name	SMILES	InChi	InChiKey	Strains	Protein	Reference	Protein ID from OG database	NCBI ID
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE3	TceA	PMID: 25934625; PMID: 23204411	KBTCE3_B1773_00500	AQU03914.1,AQU02578.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE3	TceA	PMID: 25934625; PMID: 23204411	KBTCE3_B1773_00500	AQU03914.1,AQU02578.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA1	BvcA	PMID: 25934625; PMID: 23204411	KBDCA1_B1777_04415	AQU05943.1, AQU07388.1,AQW62492.1
cis-1,2-Dichloroethylene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi KBDCA1	BvcA	PMID: 25934625; PMID: 23204411	KBDCA1_B1777_04415	AQU05943.1, AQU07388.1,AQW62492.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA1	BvcA	PMID: 25934625; PMID: 23204411	KBDCA1_B1777_04415	AQU05943.1, AQU07388.1,AQW62492.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA1	BvcA	PMID: 25934625; PMID: 23204411	KBDCA1_B1777_04415	
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA2	BvcA	PMID: 25934625; PMID: 23204411	KBDCA2_B1778_04230	AQU05943.1, AQU07388.1,AQW62492.1
cis-1,2-Dichloroethylene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi KBDCA2	BvcA	PMID: 25934625; PMID: 23204411	KBDCA2_B1778_04230	AQU05943.1, AQU07388.1,AQW62492.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA2	BvcA	PMID: 25934625; PMID: 23204411	KBDCA2_B1778_04230	AQU05943.1, AQU07388.1,AQW62492.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA2	BvcA	PMID: 25934625; PMID: 23204411	KBDCA2_B1778_04230	AQU05943.1, AQU07388.1,AQW62492.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA3	BvcA	PMID: 25934625; PMID: 23204411	KBDCA3_B1779_04245	AQU05943.1, AQU07388.1,AQW62492.1
cis-1,2-Dichloroethylene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi KBDCA3	BvcA	PMID: 25934625; PMID: 23204411	KBDCA3_B1779_04245	AQU05943.1, AQU07388.1,AQW62492.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA3	BvcA	PMID: 25934625; PMID: 23204411	KBDCA3_B1779_04245	AQU05943.1, AQU07388.1,AQW62492.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi KBDCA3	BvcA	PMID: 25934625; PMID: 23204411	KBDCA3_B1779_04245	AQU05943.1, AQU07388.1,AQW62492.1
